market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
BUZZUSDT,0.07,18,1.7,3,3.0,0.0061,112,85,191.5056526635792
BUZZUSDT,0.05,20,1.8,4,4.0,0.0061,84,71,191.3691026074176
BUZZUSDT,0.05,21,1.9,3,1.5,0.0061,152,229,191.14311437632392
BUZZUSDT,0.09,19,1.7,3,1.5,0.0061,82,103,190.81618173217632
BUZZUSDT,0.04,18,1.7,3,3.0,0.0061,146,125,190.79954683218256
BUZZUSDT,0.1,21,2.0,4,1.0,0.0061,45,84,190.7078212030916
BUZZUSDT,0.07,18,1.9,3,3.0,0.0061,104,80,190.6873360378839
BUZZUSDT,0.1,21,1.9,3,1.5,0.0061,61,69,190.613920754516
BUZZUSDT,0.08,18,1.9,3,3.0,0.0061,84,62,190.28964564315007
BUZZUSDT,0.08,21,1.8,4,3.0,0.0061,68,67,190.0695494765381
BUZZUSDT,0.09,18,1.9,3,2.0,0.0061,73,74,189.9707566573904
BUZZUSDT,0.06,21,1.9,3,2.0,0.0061,128,142,189.8934377239572
BUZZUSDT,0.05,21,1.7,4,1.0,0.0061,116,304,189.6899311278726
BUZZUSDT,0.07,19,1.8,3,3.0,0.0061,105,80,189.6710671872842
BUZZUSDT,0.04,21,2.2,3,1.5,0.0061,140,210,188.9967705744209
BUZZUSDT,0.05,19,1.8,4,4.0,0.0061,83,70,188.91376578921427
BUZZUSDT,0.08,18,1.8,4,1.0,0.0061,74,169,188.8549131531645
BUZZUSDT,0.08,20,2.2,3,2.0,0.0061,76,73,188.6950789306472
BUZZUSDT,0.07,19,1.9,4,3.0,0.0061,73,74,188.61103736529205
BUZZUSDT,0.05,21,1.8,4,4.0,0.0061,83,71,188.23462468857977
BUZZUSDT,0.05,20,1.7,4,1.0,0.0061,113,298,187.851059788537
BUZZUSDT,0.08,19,2.0,4,3.0,0.0061,65,61,187.84405367406225
BUZZUSDT,0.05,18,1.7,3,3.0,0.0061,142,118,187.79765126098
BUZZUSDT,0.08,20,2.1,3,3.0,0.0061,79,57,187.61911723160068
BUZZUSDT,0.06,21,1.7,4,1.0,0.0061,106,271,187.5730527645404
BUZZUSDT,0.07,21,2.2,3,2.0,0.0061,92,93,187.5602119532381
BUZZUSDT,0.04,21,2.0,3,3.0,0.0061,137,117,187.51799938798067
BUZZUSDT,0.06,18,2.0,3,2.0,0.0061,119,134,187.3274396112821
BUZZUSDT,0.08,21,1.9,4,1.0,0.0061,71,160,187.3238885835347
BUZZUSDT,0.08,20,2.1,3,2.0,0.0061,81,82,187.0975976021465
BUZZUSDT,0.08,21,2.2,3,2.0,0.0061,77,76,187.05635551884703
BUZZUSDT,0.05,18,1.9,3,3.0,0.0061,140,118,187.00653631409944
BUZZUSDT,0.06,21,1.9,3,1.5,0.0061,131,194,186.9571458854873
BUZZUSDT,0.06,20,2.1,4,4.0,0.0061,77,60,186.931058322086
BUZZUSDT,0.04,21,1.9,4,2.0,0.0061,103,156,186.88446099745263
BUZZUSDT,0.05,20,2.1,4,4.0,0.0061,80,67,186.8354001597328
BUZZUSDT,0.04,21,1.7,3,1.5,0.0061,165,261,186.72704695580768
BUZZUSDT,0.09,18,1.7,3,1.5,0.0061,82,105,186.531397403166
BUZZUSDT,0.05,18,2.1,4,1.0,0.0061,103,255,186.5191098481759
BUZZUSDT,0.05,21,1.7,4,4.0,0.0061,83,71,186.4887201460433
BUZZUSDT,0.07,20,2.2,3,2.0,0.0061,92,93,186.388105918982
BUZZUSDT,0.05,21,1.8,4,2.0,0.0061,101,154,186.37388830893693
BUZZUSDT,0.06,21,2.0,3,1.5,0.0061,123,181,186.2602453617013
BUZZUSDT,0.07,21,1.8,3,1.5,0.0061,118,166,186.2087005753488
BUZZUSDT,0.05,21,1.9,4,3.0,0.0061,91,102,185.81255803644424
