market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
AVAAIUSDT,0.05,21,2.0,3,2.0,0.0061,129,149,159.63973670882842
AVAAIUSDT,0.07,20,1.8,2,1.0,0.0061,131,157,159.38802652440032
AVAAIUSDT,0.08,21,1.8,4,1.0,0.0061,57,120,159.15161791853907
AVAAIUSDT,0.06,21,1.7,1,1.0,0.0061,275,218,159.11500518738657
AVAAIUSDT,0.07,19,1.9,3,3.0,0.0061,90,65,159.00155109256534
AVAAIUSDT,0.05,20,1.7,3,2.0,0.0061,140,163,158.894313657436
AVAAIUSDT,0.07,21,1.9,2,1.0,0.0061,125,148,158.2547055337703
AVAAIUSDT,0.07,21,1.9,1,1.0,0.0061,181,125,158.0754996731913
AVAAIUSDT,0.06,18,1.9,4,1.0,0.0061,86,207,158.02063872090343
AVAAIUSDT,0.06,19,1.9,3,2.0,0.0061,118,133,157.99045419710978
AVAAIUSDT,0.05,18,1.7,3,3.0,0.0061,140,110,157.98863950995332
AVAAIUSDT,0.07,21,2.0,3,2.0,0.0061,85,91,157.79349935380358
AVAAIUSDT,0.04,18,1.9,3,2.0,0.0061,154,188,157.72362184347617
AVAAIUSDT,0.04,21,1.7,2,2.0,0.0061,242,210,157.67858379506706
AVAAIUSDT,0.08,20,1.7,3,1.0,0.0061,79,136,157.588835500629
AVAAIUSDT,0.05,19,2.0,3,3.0,0.0061,128,99,157.5390015534954
AVAAIUSDT,0.04,20,1.7,2,2.0,0.0061,246,213,157.39236697986266
AVAAIUSDT,0.07,21,1.7,2,1.0,0.0061,139,171,157.14547785754274
AVAAIUSDT,0.07,21,1.9,3,1.0,0.0061,90,157,156.984424469191
AVAAIUSDT,0.08,18,1.7,2,1.0,0.0061,108,125,156.8904841879778
AVAAIUSDT,0.04,21,1.8,3,2.0,0.0061,152,193,156.77605166232874
AVAAIUSDT,0.06,20,2.0,4,1.0,0.0061,82,189,156.39910728597405
AVAAIUSDT,0.07,19,2.1,4,1.0,0.0061,57,122,156.1786026748556
AVAAIUSDT,0.07,19,1.8,2,1.0,0.0061,132,162,156.15515140482412
AVAAIUSDT,0.06,21,1.8,1,1.0,0.0061,257,199,155.99836313436214
