Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
LDOUSDT,14.572063771712148,-6.081826445553268,4.160059794170338,-2.36807414215824,1.7567270044927308,0.3285714285714285,3,7,-17.900955657782983,95.68137526591777,-111.29948468143726
AGLDUSDT,11.009111996979176,-5.968832919254661,3.39456684728761,-2.276123852996651,1.4913805515541092,0.3508771929824561,2,6,-18.04489233352031,67.8913369457522,-84.21658256087609
WAXPUSDT,10.212040068886337,-6.38980118845501,3.711421307561906,-2.3884426855282217,1.5539084651474893,0.2727272727272727,2,7,-18.10414348146503,22.26852784537144,-38.21508296845155
VETUSDT,8.900513492854776,-6.3648282543491295,3.7405354890477,-2.1561706966261776,1.7348048996772951,0.3023255813953488,2,7,-18.27032622454454,48.6269613576201,-64.68512089878533
ALCHUSDT,16.533428432732315,-10.199355020841232,5.509542188469441,-3.30539437616654,1.666833533751933,0.3684210526315789,6,12,-18.449158883613336,578.5019297892912,-594.9709877099772
BLURUSDT,11.958185714285726,-7.367555748552519,3.651708468219724,-2.6623373923704,1.3716174661726257,0.3235294117647059,2,8,-18.72683491851927,40.16879315041697,-61.2337600245192
AVAXUSDT,10.691365799506606,-6.368972742545138,3.981957789490323,-2.3915287960970364,1.6650260686757603,0.2692307692307692,3,7,-18.81251706387929,27.87370452643226,-45.43904712584369
1000APUUSDT,12.595940816326534,-7.669416582914579,3.7080988124716505,-2.2972467378916104,1.61414912525892,0.3641975308641975,5,11,-18.87132113693088,218.77782993582736,-236.61641400283588
JUPUSDT,9.24661561313964,-5.795511625987491,4.055568013774556,-2.080803351319508,1.949039543406532,0.2727272727272727,2,9,-19.07474133609461,48.66681616529467,-66.58570724222426
MDTUSDT,8.425658530183735,-7.277167843017959,3.9931682629357113,-2.8348568828474034,1.4085960695570885,0.3214285714285714,2,4,-19.460850611810493,35.9385143664214,-53.86228077410067
SUSDT,12.541877561263652,-7.968056521739133,3.921208305842869,-2.35021217375631,1.6684486403521843,0.3461538461538461,3,6,-19.73790841746018,141.16349901034326,-159.81442781542913
ZETAUSDT,11.932522754491012,-9.247655130656478,4.06778070321629,-2.3998547251891,1.6950112273549238,0.28125,4,7,-20.070432511606327,36.61002632894661,-55.1966586793493
ARBUSDT,13.469835828877006,-6.462864772986549,3.965152073443612,-2.640747797416816,1.501526225761631,0.3125,3,8,-20.07885174843044,39.65152073443612,-58.09645154316995
OGNUSDT,9.913899999999996,-6.096751558073652,3.884339464106151,-2.303453191674516,1.6863114380381203,0.2592592592592592,1,6,-20.20373242887197,27.190376248743057,-46.06906383349032
ETHWUSDT,15.606282234185734,-11.763819714964368,3.5694636192990257,-2.834325500895163,1.2593696871342706,0.3611111111111111,3,7,-20.22947011182086,46.40302705088733,-65.18948652058874
GRTUSDT,11.715314467779564,-7.671634101267916,4.048335816775536,-2.4363157506855724,1.661663031828426,0.2758620689655172,2,7,-20.314933435289444,32.38668653420429,-51.16263076439702
OLUSDT,14.953490961570171,-12.135516542574804,4.345328484901829,-2.649975962095196,1.6397614722007543,0.3523809523809524,4,8,-20.36061888923317,160.7771539413677,-180.19836542247333
BLASTUSDT,11.197817050691246,-7.836077628635341,4.020872197997554,-2.51140544275193,1.6010446300504912,0.3181818181818182,2,8,-20.378073031507697,56.29221077196576,-75.3421632825579
MEMEUSDT,12.978897413347138,-7.761473365832032,3.647373107595312,-2.351129222085304,1.5513282185146429,0.3260869565217391,3,6,-20.45164833430663,54.71059661392968,-72.88500588464441
BEAMUSDT,12.579663293310462,-9.089920662768035,3.5420504851377133,-2.212002619496131,1.601286749807083,0.3333333333333333,2,8,-20.48674836507281,70.84100970275426,-88.48010477984523
MTLUSDT,10.157027912998448,-8.24192869476315,4.978788787019437,-2.437967715084163,2.0421881537703466,0.1764705882352941,1,4,-20.51482822587451,14.936366361058312,-34.13154801117828
CVXUSDT,12.6290735913489,-6.399280607352164,3.783776575148421,-2.4764667594614385,1.5278931407790368,0.3392857142857143,2,7,-20.645328427438177,71.89175492781999,-91.62927010007324
GTCUSDT,12.350137098201117,-8.027355060728748,3.994620090903918,-2.7255517806874368,1.465618858980693,0.3235294117647059,2,4,-20.681782841133405,43.9408209999431,-62.68769095581105
AGIUSDT,11.058344152775966,-7.966960111137971,4.406946334301118,-2.4344842127689503,1.810217667950582,0.2631578947368421,2,7,-20.750585134505272,44.06946334301118,-68.16555795753061
WOOUSDT,13.691119361482992,-7.880862808349132,3.700331280171481,-2.344732065204969,1.5781467465230443,0.3095238095238095,2,7,-20.76917050440425,48.10430664222925,-67.9972298909441
ZILUSDT,11.641154575707157,-7.21523633119201,4.125037436778109,-2.5151148755048984,1.6400990177238028,0.238095238095238,2,6,-21.1106615495443,20.625187183890542,-40.241838008078375
NKNUSDT,11.297904734661667,-7.258075417032487,4.283255795843498,-2.052811891340541,2.0865310718004544,0.2,2,7,-21.14627946827284,21.41627897921749,-41.05623782681083
ATOMUSDT,10.44281640866873,-7.29847002025658,5.220208021736744,-3.141556019148064,1.6616631980837238,0.2142857142857142,1,5,-21.28667324172033,15.660624065210232,-34.557116210628706
MKRUSDT,10.632449934841835,-5.435284549356223,3.88341363637906,-2.2526383795123985,1.7239401013933071,0.2954545454545454,3,9,-21.30273755613836,50.48437727292777,-69.83178976488435
DYMUSDT,12.322667123287662,-8.006099999999988,3.4707684111646064,-2.2754890820266405,1.5252845810507705,0.3333333333333333,3,8,-21.45887787454426,65.94459981212752,-86.46858511701234
GMTUSDT,9.374430973451322,-6.3755267515923535,3.5806047589402143,-2.291117745197004,1.5628200542929027,0.2972972972972973,3,7,-21.568684685499942,39.38665234834236,-59.5690613751221
KNCUSDT,10.70716267545116,-5.862877493606147,5.131806903080841,-2.349284212942608,2.184412969196677,0.1666666666666666,1,6,-21.801928125462,15.395420709242524,-35.23926319413912
ETHFIUSDT,13.976950847457626,-14.745029279577016,4.210642522140943,-2.6075663568739222,1.6147786655710907,0.3382352941176471,3,7,-21.80911681817427,96.8447780092417,-117.34048605932652
ALPACAUSDT,8.47754948213661,-14.299615358361784,4.168738547520943,-3.137045393497271,1.328874155331718,0.3918918918918919,6,5,-21.92151587404595,120.89341787810731,-141.1670427073772
GMXUSDT,12.184892211310537,-12.024554440599774,4.391300933999888,-3.0412433882315044,1.4439163110037858,0.3414634146341463,2,8,-22.005929673636032,61.47821307599844,-82.11357148225062
SYNUSDT,9.753447383309766,-5.647283723797795,3.780344797228683,-2.220139016577663,1.7027513903413456,0.3181818181818182,2,5,-22.013439356258097,79.38724074180234,-99.90625574599484
PHBUSDT,12.725061152346202,-10.980685171182529,4.213877409839194,-2.5171054923337186,1.6740964662280895,0.3023255813953488,3,5,-22.02006194681356,54.78040632790952,-75.51316477001156
ZRXUSDT,9.615112121212112,-4.769602180476346,3.715980146403596,-2.444686202028012,1.5200233646841752,0.24,2,7,-22.22780973486584,22.29588087842157,-46.44903783853222
KMNOUSDT,6.003596696358102,-10.413557236209888,3.146085389807229,-1.981229439928116,1.5879460129167962,0.2826086956521739,2,11,-22.37032610455204,40.89911006749398,-65.38057151762783
MAGICUSDT,12.793492044875071,-7.121067462039044,3.8258617139226345,-2.335421567831807,1.6381889105676728,0.3043478260869565,3,7,-22.552217751308955,53.56206399491688,-74.73349017061783
OPUSDT,10.190198373527773,-9.609521461897348,3.6716219603331135,-2.417429773359266,1.5188122529123234,0.3023255813953488,3,6,-22.61193271811874,47.73108548433048,-72.52289320077797
CFXUSDT,12.052574759736975,-7.547527122083187,3.815495982704305,-2.588509562502046,1.4740127052172285,0.303030303030303,2,7,-22.68226985423818,38.15495982704305,-59.53571993754706
1000TURBOUSDT,10.3514640946055,-7.780019225615927,3.8808834532166,-2.233847219179106,1.7373092572744286,0.3055555555555556,2,10,-22.725604214951247,85.3794359707652,-111.6923609589553
TIAUSDT,12.345443942992889,-6.684066101694915,3.511828875967114,-2.340653604030094,1.500362492733018,0.3214285714285714,5,8,-22.962421480053425,63.21291976740805,-88.94483695314358
LEVERUSDT,13.397950144648023,-9.832186956521742,3.836335119172552,-2.947481040837112,1.3015639680189417,0.3725490196078431,3,5,-23.030567637950654,72.8903672642785,-94.3193933067876
PORTALUSDT,13.117259580052492,-7.972716084977234,3.521105933527654,-2.224267176663384,1.583040909145481,0.3137254901960784,2,6,-23.066324993843068,56.33769493644247,-77.84935118321843
FLMUSDT,11.865623712611775,-6.48383279352227,4.500075578318759,-2.5995625783927885,1.7310895362638226,0.2272727272727272,2,6,-23.119361586033328,22.5003778915938,-44.19256383267741
EDUUSDT,13.565589164538492,-8.106570957613812,4.00688708323396,-2.2995698874772184,1.7424506665591202,0.2916666666666667,3,5,-23.144008057901047,56.09641916527544,-78.18537617422542
AIXBTUSDT,13.971535782747596,-7.811696465390279,4.486769029978743,-2.4007939110081726,1.868868881000536,0.3315217391304347,4,12,-23.30788610839424,273.6929108287033,-295.29765105400526
LUMIAUSDT,5.313048936170219,-6.880077086743048,3.377809040576216,-2.484032333442648,1.3598088056667417,0.3780487804878049,3,11,-23.425135239170885,104.71208025786272,-126.68564900557504
BCHUSDT,11.317276172282051,-6.492420319704895,4.937561732263426,-2.397346194967508,2.059594789700512,0.1904761904761904,2,6,-23.57484094949649,19.750246929053706,-40.754885314447634
KSMUSDT,11.501091994996862,-7.082855579749591,3.577803915117057,-2.305619686808271,1.5517754014626344,0.2857142857142857,3,8,-23.63166332645029,35.778039151170574,-57.64049217020677
MEWUSDT,10.557280281690147,-5.3726380568221686,3.866585552203039,-2.252659789101518,1.7164533991816144,0.2916666666666667,2,5,-23.776527553502447,54.13219773084255,-76.59043282945161
1000BONKUSDT,11.731082021879544,-6.639129780950038,3.9623007917122353,-2.2011104006739477,1.8001372355057874,0.2558139534883721,2,7,-24.10736355082965,43.58530870883459,-70.43553282156631
LINKUSDT,10.277132397381765,-6.982711847720928,3.9817666617642593,-2.204430972525929,1.8062559959415672,0.2424242424242424,2,7,-24.11201613269976,31.854133294114074,-55.11077431314823
MONUSDT,16.938480676802353,-35.39786626826028,5.631476771888351,-4.030378300549875,1.3972576150283549,0.3673469387755102,2,6,-24.449750679798147,101.36658189399031,-124.94172731704612
